t,mmsi,mmsi2_0,lat_0,lon_0,cog_0,sog_0,abs_bearing_0,rel_bearing_0,tcpa_0,dcpa_0,c_lat_0,c_lon_0,ships_distance_0,rel_speed_0,mmsi2_1,lat_1,lon_1,cog_1,sog_1,abs_bearing_1,rel_bearing_1,tcpa_1,dcpa_1,c_lat_1,c_lon_1,ships_distance_1,rel_speed_1
2022-07-05 23:35:24,211533590,211118300.0,54.443472,10.206178,202.2109516347772,30.723031945243,195.62615008180853,353.41519844703134,222.0,1.845938444924406,54.41504782833195,10.186226572651984,5.254180885529158,28.62009920481602,,,,,,,,,,,,,
2022-07-05 23:35:30,211533590,211118300.0,54.443144,10.205376,201.9251402079367,31.008238069392096,195.34731177934233,353.42217157140567,216.0,1.8113077753779696,54.41519639153031,10.186038172817799,5.240946544276457,28.97144305713882,,,,,,,,,,,,,
2022-07-05 23:35:36,211533590,211118300.0,54.442817,10.204576,201.91414651622117,30.928494485137534,195.07471325602765,353.1605667398065,210.0,1.755030777537797,54.41573562299739,10.18584787560541,5.226592872570194,28.723619752431134,,,,,,,,,,,,,
2022-07-05 23:35:42,211533590,211118300.0,54.442491,10.20378,201.95290384979907,30.782328569225616,194.80313286464366,352.85022901484456,204.0,1.695363930885529,54.416337479463415,10.1856581289833,5.212728941684666,28.377476207495842,,,,,,,,,,,,,
2022-07-05 23:35:48,211533590,211118300.0,54.442166,10.202986,201.9419003332704,30.70258189872021,194.52537961851183,352.5834792852414,204.0,1.6909713822894168,54.41607821581209,10.184919817368712,5.200361231101511,28.339350139313094,,,,,,,,,,,,,
2022-07-05 23:35:54,211533590,211118300.0,54.441894,10.202241,199.76478386284725,28.38911345013159,194.25525566699065,354.4904718041434,222.0,1.7055977321814257,54.415195332568835,10.185749359162122,5.191483261339093,26.539072390113002,,,,,,,,,,,,,
2022-07-05 23:36:00,211533590,211118300.0,54.441648,10.201468,197.391057824336,29.04394378840931,193.96943686887312,356.5783790445371,216.0,1.696372030237581,54.41471980894738,10.186969548437936,5.183875809935206,27.542165167669243,,,,,,,,,,,,,
2022-07-05 23:36:06,211533590,211118300.0,54.44139,10.200623,196.72549201935803,31.6348848983724,193.659147236203,356.93365521684495,192.0,1.6365113390928725,54.41531889038456,10.187155595065898,5.1750750539956805,29.990166099820293,,,,,,,,,,,,,
2022-07-05 23:36:12,211533590,211118300.0,54.441107,10.199722,197.1780355424241,33.81367717752689,193.33026136164656,356.15222581922245,174.0,1.5799589632829372,54.41599759187887,10.186378722749902,5.165186825053995,31.873520214243406,,,,,,,,,,,,,
2022-07-05 23:36:18,211533590,211118300.0,54.440857,10.19892,197.05576309242105,30.07828924456651,193.03212899403593,355.9763659016149,198.0,1.6061911447084234,54.41531384616264,10.18544895563662,5.159217602591793,28.107179598050426,,,,,,,,,,,,,
2022-07-05 23:36:24,211533590,211118300.0,54.440562,10.197971,197.0111071756496,35.58279039806449,192.68581084416718,355.67470366851757,162.0,1.5438569114470841,54.41600425239043,10.185055596059462,5.148545896328294,33.50841569589637,211182370.0,54.440562,10.197971,197.0111071756496,35.58279039806449,193.30655539581892,356.2954482201693,162.0,1.5438569114470841,54.41600425239043,10.185055596059462,6.495780237580993,35.56917805650868
2022-07-05 23:36:30,211533590,211118300.0,54.440291,10.197107,197.1556185819746,32.42113189425538,192.3680777655436,355.21245918356897,174.0,1.514890928725702,54.41621276120899,10.184329518866134,5.139389308855291,30.514376424749813,211182370.0,54.440291,10.197107,197.1556185819746,32.42113189425538,193.07884719851424,355.92322861653963,174.0,1.514890928725702,54.41621276120899,10.184329518866134,6.472904427645788,32.407725705644985
2022-07-05 23:36:36,211533590,211118300.0,54.440031,10.196263,196.86687403488423,31.62126502002775,192.05091491852457,355.18404088364036,174.0,1.4775075593952485,54.41651056407426,10.18400434765806,5.131529157667386,30.095260734604285,211182370.0,54.440031,10.196263,196.86687403488423,31.62126502002775,192.85400177705557,355.9871277421713,174.0,1.4775075593952485,54.41651056407426,10.18400434765806,6.450924406047517,31.641940478602415
2022-07-05 23:36:42,211533590,211118300.0,54.439766,10.195418,197.15323595061497,31.70775230640808,191.7352179777444,354.58198202712947,168.0,1.4286452483801297,54.41705829210061,10.183369539589945,5.122950863930885,30.08084178380076,211182370.0,54.439766,10.195418,197.15323595061497,31.70775230640808,192.6281367605173,355.47490080990235,168.0,1.4286452483801297,54.41705829210061,10.183369539589945,6.428625269978402,31.749925998756044
