t,epoch,status,heading,course,speed,turn,maneuver,roa,inter_speed,inter_turn,traj_id,mmsi,calc_speed,direction,angular_difference,calc_acc,inter_lat,inter_lon,in_waterways,distance_shore
2022-07-05 16:22:36,1657038141.0,15,511.0,167.0,5.2,128.0,0,0,5.19921875,128.0,0,244620045,5.605508324653724,299.2265548227858,2.799437302661488,61.03652185900205,54.361096,10.154946,0,0.396784
2022-07-05 16:22:42,1657038172.0,15,511.0,164.2,5.2,128.0,0,0,5.19921875,128.0,0,244620045,5.609864681171597,300.04527619845976,0.818721375673988,2.613813910724083,54.360959,10.155024,0,0.412725
2022-07-05 16:22:48,1657038172.0,15,511.0,164.2,5.2,128.0,0,0,5.19921875,128.0,0,244620045,5.5540711983372,298.2537908620386,1.7914853364211467,-33.476089700638134,54.360821,10.155097,0,0.428291
2022-07-05 16:22:54,1657038172.0,15,511.0,164.2,5.2,128.0,0,0,5.197795189504373,128.0,0,244620045,5.426828850576586,294.72375862233343,3.5300322397051787,-76.3454086563689,54.360682,10.15516,0,0.443041
2022-07-05 16:23:00,1657038172.0,15,511.0,164.2,5.2,128.0,0,0,5.179858327259475,128.0,0,244620045,5.346956592283717,291.75743239083937,2.9663262314940653,-47.92335497572129,54.360542,10.155215,0,0.457152
2022-07-05 16:23:06,1657038200.0,15,511.0,171.2,5.1,128.0,0,0,5.150390625,128.0,0,244620045,5.320955765250208,291.0365886234554,0.7208437673839967,-15.600496220105422,54.360402,10.155268,0,0.471087
2022-07-05 16:23:12,1657038200.0,15,511.0,171.2,5.1,128.0,0,0,5.120922922740525,128.0,0,244620045,5.271493940111669,289.57390091204104,1.4626877114143326,-29.67709508312328,54.360262,10.155317,0,0.484669
2022-07-05 16:23:18,1657038200.0,15,511.0,171.2,5.1,128.0,0,0,5.102986060495627,128.0,0,244620045,5.315355758046854,288.5854312419346,0.98846967010644,26.31709076111104,54.36012,10.155364,0,0.498207
2022-07-05 16:23:24,1657038200.0,15,511.0,171.2,5.1,128.0,0,0,5.106020641720654,128.0,0,244620045,5.304109530747629,288.216367268299,0.3690639736356047,-6.7477363795347856,54.359978,10.15541,0,0.511656
2022-07-05 16:23:30,1657038200.0,15,511.0,171.2,5.1,128.0,0,0,5.125492231294686,128.0,0,244620045,5.3096111915862565,285.7590244552088,2.457342813090236,3.300996503176279,54.359834,10.15545,0,0.524709
2022-07-05 16:23:36,1657038231.0,15,511.0,166.6,5.2,128.0,0,0,5.152752456698331,128.0,0,244620045,5.334304113302646,285.28281703024675,0.4762074249620127,14.815753029833624,54.359689,10.155489,0,0.537739
2022-07-05 16:23:42,1657038231.0,15,511.0,166.6,5.2,128.0,0,0,5.179304624299285,128.0,0,244620045,5.309609985650503,285.75902815330744,0.4762111230606933,-14.816476591285976,54.359545,10.155529,0,0.550792
2022-07-05 16:23:48,1657038231.0,15,511.0,166.6,5.2,128.0,0,0,5.196652040465241,128.0,0,244620045,5.350085052481319,287.2453476833166,1.4863195300091547,24.285040098489752,54.359401,10.155573,0,0.564176
2022-07-05 16:23:54,1657038231.0,15,511.0,166.6,5.2,128.0,0,0,5.196484375,128.0,0,244620045,5.374811364179605,290.4065162392606,3.161168555944016,14.835787018971658,54.359259,10.155625,0,0.578206
2022-07-05 16:24:00,1657038231.0,15,511.0,166.6,5.2,128.0,0,0,5.178125,128.0,0,244620045,5.474043068970738,294.9110730864164,4.504556847155811,59.539022874680114,54.359119,10.155689,0,0.593267
2022-07-05 16:24:06,1657038261.0,15,511.0,165.8,5.1,128.0,0,0,5.150390625,128.0,0,244620045,5.567544906417078,296.9286970582451,2.017623971828698,56.1011024678038,54.358979,10.155759,0,0.608938
2022-07-05 16:24:12,1657038261.0,15,511.0,165.8,5.1,128.0,0,0,5.12265625,128.0,0,244620045,5.552200438123665,297.4257979120885,0.4971008538433921,-9.206680976047643,54.35884,10.15583,0,0.624702
2022-07-05 16:24:18,1657038261.0,15,511.0,165.8,5.1,128.0,0,0,5.104296875,128.0,0,244620045,5.4404186795154015,295.9139085360167,1.5118893760717924,-67.06905516495834,54.358702,10.155896,0,0.640046
2022-07-05 16:24:24,1657038261.0,15,511.0,165.8,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.261645008829199,292.5514475722272,3.3624609637895446,-107.26420241172131,54.358565,10.155952,0,0.654556
2022-07-05 16:24:30,1657038261.0,15,511.0,165.8,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.129542269317861,290.9963775068169,1.5550700654102911,-79.26164370680287,54.35843,10.156003,0,0.668588
2022-07-05 16:24:36,1657038290.0,15,511.0,172.2,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.058828827690802,289.9970146061769,0.9993629006399942,-42.42806497623537,54.358296,10.156051,0,0.682379
2022-07-05 16:24:42,1657038290.0,15,511.0,172.2,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.068471176337022,289.0940627358938,0.9029518702831184,5.785409187731894,54.358161,10.156097,0,0.696161
2022-07-05 16:24:48,1657038290.0,15,511.0,172.2,5.1,128.0,0,0,5.1015625,128.0,0,244620045,5.135668810112319,288.83510177354754,0.2589609623462365,40.31858026517785,54.358024,10.156143,0,0.710172
2022-07-05 16:24:54,1657038290.0,15,511.0,172.2,5.1,128.0,0,0,5.104576759142614,128.0,0,244620045,5.225484844277728,288.0842168797152,0.7508848938323354,53.88962049924544,54.357884,10.156188,0,0.721137
2022-07-05 16:25:00,1657038290.0,15,511.0,172.2,5.1,128.0,0,0,5.1184733576514425,128.0,0,244620045,5.326896947597239,287.72881627977023,0.3554005999449714,60.84726199170713,54.357741,10.156233,0,0.729289
2022-07-05 16:25:06,1657038321.0,15,511.0,169.6,5.2,128.0,0,0,5.139917944893543,128.0,0,244620045,5.384010968689621,287.1334362600811,0.5953800196891166,34.268412655428904,54.357596,10.156277,0,0.737662
2022-07-05 16:25:12,1657038321.0,15,511.0,169.6,5.2,128.0,0,0,5.164745474970728,128.0,0,244620045,5.417966951359748,287.02289259895343,0.1105436611276786,20.373589602076336,54.35745,10.156321,0,0.74634
